@RELATION 'gasch20.names'

@ATTRIBUTE DES460_Plus_0point02%_MMS___5_min                                numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___15_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___30_min                               numeric
@ATTRIBUTE DES460_Plus_0point2%_MMS___45_min                                numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___60_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___90_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___120_min                              numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___5_min                          numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___15_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___30_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___45_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___60_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___90_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___120_min                        numeric
@ATTRIBUTE dun1__Plus_0point02%_MMs___30_min                                numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___90_min                                numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___120_min                               numeric
@ATTRIBUTE wt_plus_gamma_5_min                                              numeric
@ATTRIBUTE wt_plus_gamma_10_min                                             numeric
@ATTRIBUTE wt_plus_gamma_20_min                                             numeric
@ATTRIBUTE wt_plus_gamma_30_min                                             numeric
@ATTRIBUTE wt_plus_gamma_45_min                                             numeric
@ATTRIBUTE wt_plus_gamma_60_min                                             numeric
@ATTRIBUTE wt_plus_gamma_90_min                                             numeric
@ATTRIBUTE wt_plus_gamma_120_min                                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___5_min                             numeric
@ATTRIBUTE DES460_wt___mock_irradiation___30_min                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___60_min                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___90_min                            numeric
@ATTRIBUTE mec1_plus_gamma_5_min                                            numeric
@ATTRIBUTE mec1_plus_gamma_10_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_20_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_30_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_45_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_60_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_90_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_120_min                                          numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___5_min                           numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___30_min                          numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___60_min                          numeric
@ATTRIBUTE DES460_wild_type_Plus_heat_20_min                                numeric
@ATTRIBUTE DES459_mec1_Plus_heat_20_min                                     numeric
@ATTRIBUTE MHY1_dun1_Plus_heat_20_min                                       numeric
@ATTRIBUTE DES460_vs_DES460_YPD_log_phase_control                           numeric
@ATTRIBUTE DES459_mec1___log_phase_IR_time_=_0_sample                       numeric
@ATTRIBUTE DES459_mec1___log_phase_MMS_time_=_0_sample                      numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison                    numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison_#2                 numeric
@ATTRIBUTE DES460_genomic_DNA_vs_MHY26_dun1_genomic_DNA                     numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type                                      numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type___log_phase                          numeric
@ATTRIBUTE pRS_ROX1_GAL_media                                               numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/13,01/02,01/02/02,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/02,01/05/03/02/04,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/05,01/20/27,01/20/31,01/20/33,01/20/37,01/20/37/01,01/25,01/25/01,02,02/01,02/01/01,02/01/03,02/04,02/07,02/07/01,02/08,02/10,02/11,02/11/05,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/02,16,16/01,16/02,16/03,16/03/01,16/03/03,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/17,16/17/01,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/09,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/25,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/02,20/09/16,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/09,20/09/18/09/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/03,30/01/05/05,30/01/05/05/01,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/10,30/05/02,30/05/02/24,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/10,32/10/03,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/07,34/07/01,34/07/02,34/11,34/11/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,38,38/07,40,40/01,40/01/03,40/01/03/01,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/03,40/10/02/03/02,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/09,99

@DATA
0.01,0.187,0.171,0.199,-0.086,0.195,0.038,0.306,-0.076,0.24,-0.012,0.217,0.086,0.032,0.256,-0.072,0.032,0.798,0.483,0.514,0.172,0.222,0.232,-0.195,0.047,0,-0.495,-0.697,-0.663,0.513,0.779,0.179,-0.01,0.024,-0.742,0.036,-0.047,-0.144,-0.111,-0.252,0.343,1.108,0.226,0.256,0.253,0.303,-0.112,0.213,0.528,?,-0.163,0.028,14/07/11/01@14/13/04
?,0.05,-0.03,0.28,-0.25,-0.03,-0.11,-0.607,0.016,-0.11,-0.05,-0.14,0.03,-0.05,-0.163,-0.445,-0.204,0.42,0.29,0.57,0.596,0.43,0.65,0.19,0.03,0.15,0.43,0.59,0.16,0.32,0.084,0.04,0.08,-0.01,0.18,-0.3,0.01,0.76,0.56,0.37,0.33,0.29,0.12,-0.12,0.54,0.41,0.31,-0.33,0.562,0.45,-0.03,0.14,01/04@01/05/25@02/19@11/02/03/04@11/04/03/01@14/07/03@18/02/01@40/01
-0.13,0.14,0.12,0.23,0.09,-0.2,-0.08,-0.04,-0.19,-0.06,-0.32,-0.05,-0.36,0,0,-0.18,-0.07,0.55,0.21,0.71,-0.03,0.12,0.45,-0.12,0.04,0.44,0.15,0.43,0.26,0.07,0.49,0.15,0.07,0.1,0.03,0.11,0.72,0.17,0.17,-0.06,-0.819,-0.36,-0.94,0.16,0.271,0.138,-0.47,-0.18,0.93,0.272,0.15,?,01/03@01/04@10/01/03@10/01/05/03/01@10/03/01/02@10/03/01/03@10/03/02@14/07/03@32/01/09
0.327,0.087,-0.06,0.221,-0.041,-0.036,-0.109,0.664,0.618,0.195,0.582,0.406,0.378,0.327,0.362,0.16,0.273,0.18,-0.142,-0.335,-0.392,-0.339,-0.418,0.189,0.178,-0.154,0.282,0.033,0.49,0.28,-0.387,-0.315,-0.096,0.105,0.352,0.246,0.675,-0.198,-0.602,-0.184,-0.978,-1.294,-1.851,0.078,-0.87,-0.545,0.008,0.136,-0.331,-0.046,0.811,0.132,12/01/01@14/13/01
0.025,-0.473,-1.174,-0.983,-0.851,-0.818,-0.765,0.687,0.204,-0.432,-0.245,-0.073,-0.005,-0.144,-0.075,0.103,-0.041,-1.854,-1.574,-1.263,-1.046,-0.514,-0.47,-0.193,-0.207,-1.594,-0.012,-0.162,-0.514,-1.519,-1.228,-0.304,0.372,0.488,0.579,0.111,-0.08,-2.092,-0.181,-0.111,-1.411,-2.126,-1.924,0.323,0.07,0.354,-0.281,0.014,-0.741,?,0.378,-0.356,11/04/01@12/01/01
0.02,0.015,0.256,0.33,-0.014,0.418,0.557,-0.08,-0.272,-0.003,-0.188,-0.023,-0.183,0.069,0.33,0.6,0.56,0.906,0.276,-0.198,-0.275,-0.299,-0.413,-0.222,-0.039,0.194,-0.081,-0.795,-0.48,-0.039,-0.574,-0.778,-0.796,-0.987,-1.017,-0.686,-0.289,0.097,-0.54,-0.075,-0.378,-0.151,-0.504,-0.584,-0.199,0.083,0.173,0.245,0.266,-0.055,-0.088,0.105,32/01
0.415,-0.08,-0.057,-0.167,-0.205,-0.282,-0.081,0.436,0.169,0.014,-0.213,-0.192,0.081,-0.069,0.074,-0.107,-0.112,-1.415,?,?,0.29,-2.265,1.833,0.045,-0.229,-0.405,0.151,0.234,0.213,2.308,?,?,?,0.761,?,?,?,-0.58,-0.728,-0.31,-1.457,-2.891,-1.824,0.15,0.71,-1.195,?,-0.444,-0.243,-0.07,?,?,12/01/01
?,-0.22,0.024,0.354,0.537,0.586,0.419,0.046,0.196,0.127,0.355,0.197,0.428,0.322,0.189,0.459,0.45,-0.1,0.061,-0.124,-0.166,-0.021,-0.266,-0.322,-0.437,-0.371,0.269,0.15,0.291,0.289,0.522,0.632,0.807,0.346,0.355,0.054,0.301,-0.362,0.13,-0.214,0.312,-0.098,-0.218,0.214,0.302,0.664,0.713,-0.552,0.436,-0.097,0.071,0.376,14/07@20/01/15@32/01/01@32/07
-0.27,0.172,0.39,0.01,-0.156,-0.06,0.05,0.11,0.069,0.385,0.127,-0.081,-0.066,0.118,0.12,-0.26,-0.28,0.109,0.31,0.376,0.141,-0.209,-0.507,-0.688,-0.229,0.13,0.496,-0.106,0.15,0.769,0.847,1.009,0.842,0.852,0.243,-0.196,-0.052,-0.467,-0.491,-0.074,0.573,1.23,0.802,-0.282,-0.603,-0.509,-0.091,0.09,-0.001,-0.154,-0.221,0.563,01/01/11/02/01@42/16
-0.245,-0.076,-0.799,-0.44,-0.017,-0.391,-0.681,0.063,-0.289,-0.086,-0.792,-0.39,-0.253,-0.238,-0.303,-0.213,-0.144,-1.208,-0.436,-0.328,-0.585,0.199,0.058,-0.243,-0.251,-0.292,0.098,?,-0.286,?,-0.229,-0.22,-0.461,-0.292,-0.055,0.188,0.662,0.743,-0.442,-0.102,-0.792,-0.151,0.301,0.281,0.337,0.919,0.751,-0.46,0.482,0.054,0.33,-0.538,42/01
0.346,1.139,1.477,1.478,1.74,2.067,2.165,0.151,0.584,0.937,1.083,1.043,1.33,0.089,1.04,1.352,1.514,0.138,0.582,1.304,1.439,1.338,0.845,0.939,0.607,-0.109,0.715,0.458,-0.063,-0.723,-0.531,-0.378,0.028,0.435,0.573,0.212,-0.437,-0.523,0.525,-0.044,1.255,0.601,0.492,0.502,0.228,?,-0.125,0.298,-0.124,1.088,0.417,-1.004,20/01/01/01/01@34/01/01/01
0.43,0.227,0.435,0.484,0.023,-0.02,-0.219,0.747,0.804,0.514,1.075,0.851,0.64,0.191,0.26,0.458,0.446,-1.396,-0.885,-0.499,-0.347,0.014,-0.144,-0.29,-0.563,0.072,0.823,-0.3,-0.115,-1.148,-1.186,-0.599,-0.091,-0.021,-0.056,0.016,0.307,-0.825,-0.206,-0.422,0.078,0.286,0.143,-0.526,-0.174,0.164,-0.075,0.127,0.039,0.108,0.173,0.272,10/03/01@14/01@14/04@18/02/01/01@20/09/04@20/09/07@32/01
0.032,0.14,0.471,0.298,-0.145,0.044,-0.295,0.107,-0.051,0.056,-0.154,-0.237,-0.271,-0.095,0.152,-0.372,-0.688,?,0.316,-0.021,-0.119,-0.404,-0.36,-0.507,-0.396,0.047,0.313,0.348,0.025,0.284,-0.48,-0.71,-0.457,-0.617,0.085,-0.037,-0.045,0.483,-0.279,0.194,0.058,-0.433,0.019,-0.256,?,-0.571,-0.038,0.071,-0.404,-0.017,-0.189,0.049,16/01@18/01/07@30/01/05/05/01@42/16@43/01/03/05
-0.11,0.06,0.08,0.17,0.02,0.05,0.19,-0.18,-0.37,-0.17,-0.25,-0.22,-0.26,-0.1,-0.12,0.08,-0.02,-0.38,-0.22,-0.32,-0.25,-0.39,-0.32,-0.4,-0.35,-0.24,0.2,-0.11,-0.13,-0.33,-0.53,-0.75,-0.43,-0.61,-0.29,-0.41,-0.43,-0.05,-0.09,-0.19,0.39,0.11,-0.18,0.548,-0.09,0.26,0.01,0.22,-0.325,0.33,-0.05,0.1,01/04@10/03/03@14/07/03@14/10@20/09/18/09/01@42/04/03@43/01/03/05
0.119,-0.334,-0.235,-0.301,-0.369,-0.265,-0.64,0.194,-0.227,-0.27,-0.184,-0.011,-0.135,-0.204,-0.089,-0.118,-0.169,-0.873,-0.267,-0.072,0.017,-0.156,-0.03,-0.379,-0.249,-0.283,-0.17,0.124,0.068,-0.304,-1.004,0.008,0.391,-0.169,-0.045,-0.024,-0.333,0.018,0.235,0.032,-0.071,-0.38,-0.522,0.273,-0.271,0.232,-0.06,0.01,-0.444,0.076,0.012,-0.011,14/04@16/07@20/01/10@20/01/21@20/09/01@42/10/05@43/01/03/09
-0.026,-0.182,0.116,-0.161,-0.227,-0.491,-0.462,0.57,0.656,0.374,0.71,0.799,0.594,0.6,0.295,0.332,0.268,-0.657,0.083,0.067,0.133,0.263,-0.046,-0.401,-0.51,-0.096,-0.879,-0.89,-1.013,-0.197,0.031,0.27,0.474,0.093,0.551,0.255,-0.02,-2.492,0.189,-0.026,0.015,-0.474,-0.424,-0.254,1.147,0.923,0.696,-0.481,-0.076,-0.028,0.127,-0.089,11/02/03/04
-0.178,?,-0.293,-0.386,-0.146,-0.244,?,0.057,-0.42,0,-0.538,-0.307,-0.43,0,-0.29,-0.621,-0.706,-0.216,-0.533,0.88,0.553,-0.028,1.028,?,-0.882,-0.276,?,?,-0.117,-1.821,-0.531,?,?,?,?,-0.29,1.206,?,?,0.469,?,-0.499,-0.727,0.429,?,?,-0.023,0.297,-0.597,0.475,0.17,-0.209,01/05@01/20/15@02/01
0.101,0.415,0.708,0.921,0.977,1.049,1.113,0.14,0.261,0.969,1.088,1.298,1.429,1.571,0.418,0.689,0.572,0.207,0.258,0.195,0.435,0.487,0.067,0.069,0.202,-0.485,-0.417,-1.071,-0.956,-0.17,-0.226,-0.099,0.155,0.049,0.04,0.219,0.375,-0.207,-0.883,-0.605,-1.24,-0.192,-0.137,-0.19,1.385,2.024,0.09,0.175,0.033,0.065,-0.707,0.14,01/01/09/04@01/01/09/05@01/05@02/16
0.07,0.298,0.246,0.105,0.245,0.31,0.222,0.05,0.175,0.059,0.242,0.07,0.1,0.258,0.4,0.3,0.46,0.104,0.176,-0.248,-0.486,-0.378,-0.609,-0.216,-0.398,-0.146,0.317,0.1,0.156,-0.218,-0.148,-0.098,-0.193,0.129,0.289,0.166,-0.402,-0.473,0.12,-0.068,0.78,0.771,0.46,0.113,0.084,0.68,-0.127,0.162,-0.464,0.093,0.05,?,01/04@01/06/02/01@20/09
-0.35,0.114,-0.356,-0.355,-0.119,-0.422,-0.04,-0.739,-0.905,-0.253,-0.975,-1.066,-0.92,-0.73,-0.637,-0.465,-0.408,-0.814,-0.256,-0.054,0.243,-0.136,-0.369,-0.236,-0.194,-0.25,0.143,-0.39,-0.473,-0.745,-0.745,-0.473,-0.185,-0.214,-0.649,-0.362,0.279,-0.157,-0.436,-0.192,1.494,-0.551,-0.355,?,-0.518,-0.29,0.06,0.221,-0.107,-0.012,-1.205,0.058,01/01/09/06@01/07/01
0.1,0.034,-0.053,0.093,0.053,0.328,0.483,0.31,0.196,0.55,0.427,0.428,0.322,0.327,0.26,0.13,0.45,0.461,0.224,-0.061,0.094,-0.043,-0.363,-0.11,-0.259,-0.05,0.009,-0.112,-0.002,0.699,0.911,0.627,0.386,0.038,0.315,-0.362,-0.316,0.398,0.159,-0.282,0.557,0.688,0.462,-0.113,-0.524,0.065,-0.144,0.235,-0.095,-0.136,-0.149,-0.176,01/05@02/10@02/13@20/01/15@32/01
-0.13,0.037,0.166,0.11,0.159,?,-0.036,0,-0.006,-0.283,-0.065,0.015,-0.139,0.093,-0.01,0.05,0,-0.321,0.501,0.144,-0.216,-0.172,-0.177,-0.14,-0.346,0.374,0.303,0.072,0.125,-0.107,0.354,0.522,0.49,0.126,0.383,0.468,0.248,-0.4,?,-0.026,0.282,0.136,0.191,0.353,?,?,-0.321,0.125,0.485,-0.116,0.044,0.454,10/03/02@30/01@43/01/03/09
0.089,-0.517,-0.283,-0.181,-0.618,-0.54,-0.672,0.462,0.382,-0.036,0.328,0.398,0.224,0.316,-0.219,0.037,-0.045,-0.457,-0.33,-0.077,-0.366,-0.242,-0.004,-0.496,-0.745,0.009,0.115,-0.498,-0.146,0.263,0.162,0.25,0.299,0.314,0.022,0.19,0.196,-0.422,-0.051,0.262,-0.356,-0.605,-0.762,-0.169,-0.336,-0.664,-0.085,0.019,-0.154,0.242,0.083,0.105,01/05@14/07/02/02@42/01
0.011,-0.023,0.4,-0.066,0.161,0.145,0.097,0.042,0.26,-0.005,0.211,-0.305,-0.024,0.399,0.138,-0.304,-0.156,0.813,0.656,0.573,?,?,0.784,?,0.731,0.02,-0.009,-0.506,-0.25,0.385,0.581,0.747,0.363,0.141,?,0.448,0.177,-0.242,0.074,0.119,-0.745,-0.266,-0.011,0.352,1,?,-0.257,0.057,-0.276,0.022,?,3,10/03/01/01/01@11/02/03/01/01@11/02/03/04
-0.144,-0.075,-0.072,0.038,-0.089,-0.217,0.831,?,0.088,-0.114,0.306,0.272,0.184,0.224,-0.042,-0.244,-0.072,0.079,0.028,-0.361,-0.252,-0.389,-0.313,-0.183,-0.075,-0.063,0.475,0.332,0.217,-0.297,-0.258,-0.458,0.133,-0.165,-0.032,-0.409,-0.209,0.356,0.528,0.271,-0.046,-0.209,-0.251,-0.051,0.775,0.712,0.866,-0.608,-0.311,0.299,-0.053,-0.064,01/05@01/07/01@02/16/01@11/02/03/01@11/02/03/04
-0.209,0.39,-0.137,-0.025,-0.006,?,-0.06,-0.478,-0.394,0.068,-0.282,-0.196,-0.218,-0.352,-0.103,-0.363,0,-0.775,0.543,0.453,0.227,0.349,0.014,0.001,0.318,-0.065,0.381,0.038,0.726,-0.432,-0.101,-0.428,0.4,-1.023,-1.05,-0.694,-0.485,0.399,0.107,?,-0.821,-0.353,0.065,-0.347,?,?,0.77,-0.51,-0.008,-0.179,-0.638,?,12/01/01@42/16
0.152,-0.04,0.431,0.39,-0.193,0.035,-0.052,0.124,0.099,0.077,0.438,0.277,0.055,0.119,0.322,-0.585,?,0.071,0.333,0.23,0.235,0.36,0.166,0.116,0.317,0.273,0.035,-0.437,0.079,0.056,0,?,0.005,-0.239,?,0.045,-0.257,0.281,-0.392,-0.294,0.17,-0.411,-0.358,-0.064,-0.63,-0.415,-0.239,0.133,-0.174,-0.171,-0.249,0.025,20/09/16/09/03@43/01/03/09
0.325,0.109,-0.097,-0.04,-0.129,-0.136,0.043,0.348,-0.014,-0.466,-0.17,-0.2,-0.065,0.027,0.254,0.306,0.278,-0.306,-0.498,-0.193,-0.21,-0.617,-0.316,-0.11,-0.064,-0.307,0.027,-0.181,-0.034,-0.171,-0.303,-0.16,-0.122,0.29,0.521,0.185,0.415,-1.331,-0.584,-0.496,-0.416,-0.648,-0.766,0.24,-0.025,0.24,-0.073,0.022,0.02,-0.148,0.514,0.385,14/04@16/01@20/09/01
0.21,-0.11,0.03,0.03,-0.29,-0.18,-0.2,0.081,-0.08,-0.36,0.05,-0.03,-0.23,-0.06,-0.308,-0.441,-0.216,-0.383,0.001,0.047,-0.286,-0.072,-0.277,-0.161,0.158,-0.053,0.478,0.018,0.26,0.09,-0.04,-0.373,-0.147,-0.502,0.014,-0.051,0.074,0.112,0.215,0.196,-0.01,-0.52,-0.31,0.245,-0.474,0.094,0.053,0.226,-0.146,0.05,0.088,0.319,01/04@10/03/01/01/05@14/07/03
-0.24,-0.015,-0.194,-0.12,-0.109,-0.364,-0.159,0.13,0.065,0.169,0.451,0.249,0.129,0.301,0,0.08,-0.236,-0.397,-0.216,-0.466,-0.21,-0.27,-0.159,-0.559,-0.395,-0.475,0.025,0.163,-0.375,-0.761,-0.614,-0.69,-0.176,-0.301,0.076,-0.329,-0.218,-0.063,0.232,0.153,-0.014,-0.46,-0.701,-0.24,-0.216,-0.548,-0.124,0.184,-0.114,0.503,-0.27,-0.152,01/03/16/01@10/01/02@10/01/03/05@10/03/01/01/09@10/03/04/03@11/04/01@11/04/02@16/03/01
-0.044,-0.014,-0.077,-0.125,0.062,0.113,0.018,-0.095,-0.117,0.094,-0.315,-0.39,-0.252,-0.245,-1.29,-0.051,0.071,-0.031,0.074,-0.339,-0.226,-0.283,-0.414,-0.337,-0.565,0.149,-0.234,-0.596,-0.52,0.352,0.058,-0.195,0.264,-0.26,-0.367,-0.094,-0.31,-0.512,-0.359,-0.415,0.312,0.278,0.259,0.156,-0.336,0.452,-0.11,0.115,-0.248,-0.6,-0.006,-0.399,42/01
?,0.024,0.242,0.475,0.373,0.552,0.285,-0.065,0.185,0.494,0.863,0.667,0.601,0.425,0.074,0.577,0.386,-0.245,0.104,0.112,0,0.051,-0.23,-0.361,-0.291,0.258,0.242,0.302,-0.06,0.342,0.664,0.814,0.244,0.308,-0.354,0.481,0.209,0.504,0.063,-0.054,-0.213,-0.219,0.432,0.018,-0.41,-0.655,-0.036,0.112,0.354,0.53,-0.136,-0.14,01/04@11/02/03/04@14/07/03
0.51,0.952,1.046,1.088,0.761,0.459,0.233,0.699,0.841,0.999,1.334,1.144,0.789,0.847,0.745,0.474,0.458,-0.811,-1.029,-0.611,-0.579,-0.443,-0.35,-0.215,-0.797,0.377,0.85,0.417,0.525,0.008,-0.683,-0.769,0.056,0.681,0.711,0.312,0.527,-1.084,0.378,0.179,2.939,2.974,2.697,0.06,-0.293,0.594,-0.157,0.074,0.194,0.057,0.023,0.589,01/04@02/19@10/03/02@14/01@16/19/03@32/01@34/11/03/07@43/01/03/09
0.091,-0.781,-0.558,-0.75,-0.97,-0.941,-1.13,0.4,0.243,-0.231,-0.126,-0.01,0.049,0.072,-0.212,-0.242,-0.201,-0.194,0.059,-0.467,-0.491,-0.297,-0.154,0.004,-0.288,-0.14,-0.347,-0.208,0.041,-0.307,-0.29,-0.291,-0.366,0.165,0.3,0.264,0.151,-1.034,-0.66,-0.292,-0.742,-1.37,-1.176,0.346,-0.033,-0.357,-0.262,0.052,0.222,-0.07,0.478,0.165,12/01/01
